x,y,z,shift
-0.0283966064453125,-0.972564697265625,-0.272705078125,14721.734237625002
-0.0285491943359375,-0.980194091796875,-0.27880859375,14721.754206625
-0.0282135009765625,-0.97637939453125,-0.284759521484375,14721.774175291668
-0.0251007080078125,-0.9718475341796875,-0.2925872802734375,14721.794143291667
-0.017578125,-0.9768829345703125,-0.285186767578125,14721.814113291668
-0.002197265625,-0.9843902587890625,-0.2777252197265625,14721.834083291667
0.0011138916015625,-0.982208251953125,-0.2763214111328125,14721.854052291668
9.1552734375E-5,-0.9785614013671875,-0.273651123046875,14721.874022291668
8.697509765625E-4,-0.9781494140625,-0.2722930908203125,14721.893992291667
0.0118560791015625,-0.96142578125,-0.2654571533203125,14721.913962291668
0.028961181640625,-0.9531097412109375,-0.2619171142578125,14721.933931291667
0.03363037109375,-0.981719970703125,-0.2552642822265625,14721.953901291668
-0.0158843994140625,-0.985015869140625,-0.2582244873046875,14721.973869291667
-0.052703857421875,-0.97637939453125,-0.270965576171875,14721.993838291668
-0.0355377197265625,-0.9780426025390625,-0.2770843505859375,14722.013808291667
-0.02288818359375,-0.973876953125,-0.26910400390625,14722.033779291667
-0.0439910888671875,-0.9604644775390625,-0.2586822509765625,14722.053750291667
-0.073699951171875,-0.956085205078125,-0.26190185546875,14722.073720291668
-0.072052001953125,-0.97039794921875,-0.2734222412109375,14722.093689291667
-0.048126220703125,-0.972869873046875,-0.282501220703125,14722.113658291668
-0.0370025634765625,-0.942596435546875,-0.274169921875,14722.133627291667
-0.05230712890625,-0.92987060546875,-0.26800537109375,14722.153598291668
-0.0674285888671875,-0.945159912109375,-0.2667388916015625,14722.173568291668
-0.0503692626953125,-0.9681243896484375,-0.271087646484375,14722.193537291667
-0.0348358154296875,-0.9575653076171875,-0.271484375,14722.213507291668
-0.0551605224609375,-0.937713623046875,-0.2662811279296875,14722.233476291667
-0.1116485595703125,-0.917877197265625,-0.2635955810546875,14722.253446291668
-0.155914306640625,-0.92340087890625,-0.271392822265625,14722.273416291668
-0.131927490234375,-0.952606201171875,-0.2771148681640625,14722.293387291667
-0.085205078125,-0.9523468017578125,-0.2605133056640625,14722.313356291668
-0.0922088623046875,-0.939666748046875,-0.2546844482421875,14722.333325291667
-0.131317138671875,-0.951751708984375,-0.264495849609375,14722.353293291668
-0.162139892578125,-0.9503631591796875,-0.299896240234375,14722.373262291667
