id,level
0,0
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
110,0
120,0
130,0
140,0
150,0
160,0
170,0
180,0
190,0
200,0
210,0
220,0
230,0
240,0
250,0
260,0
270,0
280,0
290,0
300,0
310,0
320,0
330,0
340,0
350,0
360,0
370,0
380,0
390,0
400,0
410,0
420,0
430,0
440,0
450,0
460,0
470,0
480,0
490,0
500,0
510,0
520,0
530,0
540,0
550,0
560,0
570,0
580,0
590,0
600,0
610,0
620,0
630,0
640,0
650,0
660,0
670,0
680,0
690,0
700,0
710,0
720,0
730,0
740,0
750,0
760,0
770,0
780,0
790,0
800,0
810,0
820,0
830,0
840,0
850,0
860,0
870,0
880,0
890,0
900,0
910,0
920,0
930,0
940,0
950,0
960,0
970,0
980,0
990,0
1000,0
1010,0
1020,0
1030,-1338
1040,-3153
1050,-2664
1060,-2265
1070,-4082
1080,-981
1090,-5433
1100,-1891
1110,-2377
1120,-2586
1130,-1057
1140,-2135
1150,-8528
1160,-505
1170,8006
1180,11638
1190,9513
1200,18068
1210,22456
1220,28940
1230,34817
1240,25404
1250,14874
1260,13454
1270,15365
1280,12814
1290,19046
1300,21808
1310,-10029
1320,-2509
1330,2924
1340,-10318
1350,-9662
1360,-25230
1370,-21613
1380,-24962
1390,-20902
1400,-20822
1410,-21102
1420,-15566
1430,-30155
1440,-11998
1450,-30584
1460,-40751
1470,-45341
1480,-54870
1490,-33644
1500,-30472
1510,-12565
1520,-3606
1530,12488
1540,-1209
1550,663
1560,14486
1570,42727
1580,34989
1590,50614
1600,56703
1610,37309
1620,38257
1630,21168
1640,38766
1650,19686
1660,16399
1670,53109
1680,29874
1690,41679
1700,44316
1710,41508
1720,10167
1730,19794
1740,-10290
1750,16742
1760,8801
1770,-61510
1780,-43095
1790,-25483
1800,-32709
1810,-28679
1820,-73632
1830,-91443
1840,-95335
1850,-73945
1860,-98345
1870,-69604
1880,-52067
1890,-70181
1900,-12944
1910,12107
1920,46681
1930,-5785
1940,-9454
1950,-6392
1960,20338
1970,-6240
1980,33393
1990,17935
2000,33734
2010,35685
2020,78730
2030,117779
2040,100328
2050,97759
2060,97236
2070,36861
2080,95727
2090,80639
2100,57943
2110,65742
2120,65978
2130,-514
2140,-5618
2150,-94632
2160,-676
2170,-37695
2180,-96095
2190,-52792
2200,-76350
2210,-61988
2220,-74997
2230,-75700
2240,-139344
2250,-90480
2260,-117411
2270,-142172
2280,9055
2290,-170687
2300,-67326
2310,-259139
2320,-120667
2330,300147
2340,-65544
2350,418336
2360,172106
2370,486014
2380,44854
2390,172185
2400,390075
2410,-411301
2420,-514567
2430,510503
2440,-9050
2450,220731
2460,581732
2470,-247808
2480,374371
2490,673691
2500,-307281
2510,-383921
2520,-1078094
2530,978787
2540,-336012
2550,-603924
2560,-1003970
2570,75268
2580,-1005929
2590,-744170
2600,402085
2610,-156872
2620,-856296
2630,-886770
2640,1161525
2650,-1072114
2660,968684
2670,1430132
2680,414338
2690,673245
2700,58770
2710,234943
2720,1033128
2730,-815829
2740,1720985
2750,1620330
2760,-1292395
2770,181278
2780,-1301357
2790,-1569725
2800,-207620
2810,-1291832
2820,-348429
2830,1301776
2840,-1210551
2850,108681
2860,-773011
2870,-758043
2880,485100
2890,94592
2900,1986750
2910,779132
2920,3041229
2930,-1008710
2940,-1821419
2950,-7037
2960,-875247
2970,-1335502
2980,347682
2990,-421911
3000,557501
3010,211074
3020,-1536717
3030,-988459
3040,503888
